Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene % GC content	Gene type	HGNC symbol
ENSG00000228165	9	4850299	4850373	40.00	antisense	
ENSG00000108784	17	42536172	42544449	57.01	protein_coding	NAGLU
ENSG00000186575	22	29603556	29698598	45.79	protein_coding	NF2
ENSG00000233186	9	4803788	4804972	60.08	processed_pseudogene	KLF4P1
ENSG00000231307	20	38537758	38538458	46.93	processed_pseudogene	RPS3P2
ENSG00000256745	11	94188449	94188997	39.71	processed_pseudogene	
ENSG00000108960	17	55392613	55421992	41.06	protein_coding	MMD
ENSG00000170471	20	38472816	38578861	39.37	protein_coding	RALGAPB
ENSG00000226983	21	24840550	25057746	36.08	lincRNA	LINC01692
ENSG00000235213	14	22702143	22703065	51.79	unprocessed_pseudogene	OR6E1P
ENSG00000230379	21	24938431	24992817	36.80	lincRNA	
ENSG00000235159	22	46067356	46069891	41.72	lincRNA	
ENSG00000155463	14	22766522	22773041	46.66	protein_coding	OXA1L
ENSG00000182257	22	46049478	46054144	59.12	protein_coding	PRR34
ENSG00000244278	21	25055535	25069906	36.36	lincRNA	
ENSG00000237444	21	25031005	25031529	39.43	processed_pseudogene	
ENSG00000171320	8	27771949	27812640	37.71	protein_coding	ESCO2
ENSG00000227090	21	24886676	24902756	34.21	lincRNA	
ENSG00000197182	22	46053869	46113928	56.82	lincRNA	MIRLET7BHG
ENSG00000107937	10	988019	1019936	47.14	protein_coding	GTPBP4
ENSG00000250519	11	94238150	94279206	38.68	lincRNA	
ENSG00000251412	4	14383123	14409078	39.19	lincRNA	
ENSG00000273184	7	128455840	128493859	44.96	processed_transcript	
ENSG00000248425	4	14390439	14393992	41.87	lincRNA	
ENSG00000233587	2	22536479	22538288	37.46	lincRNA	LINC01884
ENSG00000261846	CHR_HSCHR3_1_CTG2_1	151744454	151770036	35.43	protein_coding	AADACL2
ENSG00000282669	CHR_HSCHR8_4_CTG7	143057059	143057816	47.23	processed_pseudogene	AK3P2
ENSG00000262235	16	13458326	13458698	38.34	processed_pseudogene	TMF1P1
ENSG00000262801	16	13246316	13562918	41.56	lincRNA	
ENSG00000265967	15	64695041	64695594	42.96	antisense	
ENSG00000227526	CHR_HSCHR6_MHC_COX_CTG1	32408020	32421718	40.73	unprocessed_pseudogene	HLA-DRB9
ENSG00000259635	15	64701248	64719602	48.46	antisense	
ENSG00000230342	3	11859674	11891172	40.89	unprocessed_pseudogene	FANCD2P2
ENSG00000277808	CHR_HSCHR19LRC_COX1_CTG3_1	54156104	54160226	54.89	protein_coding	LENG1
ENSG00000264937	15	64696622	64696861	39.17	antisense	
ENSG00000262011	16	13331368	13332583	39.14	antisense	
ENSG00000160683	11	118883766	118897799	54.19	protein_coding	CXCR5
ENSG00000180304	15	64687573	64703281	47.83	protein_coding	OAZ2
ENSG00000227930	7	23891704	23897335	43.75	lincRNA	
ENSG00000109062	17	74748652	74769353	56.20	protein_coding	SLC9A3R1
ENSG00000228944	7	24196662	24255719	40.20	antisense	
ENSG00000224263	3	11878830	11879129	45.33	processed_pseudogene	CYCSP12
ENSG00000263878	18	3962353	4013943	39.38	antisense	DLGAP1-AS4
ENSG00000225235	X	135520083	135520674	45.95	antisense	INTS6L-AS1
ENSG00000251252	4	14505865	14506480	38.31	processed_pseudogene	MTND2P31
ENSG00000248360	4	14470465	14888169	39.48	lincRNA	LINC00504
ENSG00000229648	2	85490930	85491780	49.24	processed_pseudogene	RPSAP22
ENSG00000254840	11	50307681	50361706	40.53	transcribed_unprocessed_pseudogene	
ENSG00000102287	X	151953124	151974680	46.86	protein_coding	GABRE
ENSG00000263012	CHR_HSCHR17_1_CTG4	41363494	41369800	46.12	protein_coding	KRT33B
ENSG00000177337	18	3593732	3598352	48.32	antisense	DLGAP1-AS1
ENSG00000108785	17	42546764	42548706	64.13	unprocessed_pseudogene	HSD17B1P1
ENSG00000255115	11	77914990	77915275	41.26	processed_pseudogene	
ENSG00000266962	17	42552436	42554748	63.34	antisense	
ENSG00000149262	11	77878720	77994678	40.73	protein_coding	INTS4
ENSG00000262466	CHR_HSCHR3_1_CTG2_1	151761981	151765669	35.59	antisense	AADACL2-AS1
ENSG00000108786	17	42549214	42555213	56.95	protein_coding	HSD17B1
ENSG00000226308	20	57266797	57282998	49.94	lincRNA	
ENSG00000198730	11	10750987	10801625	41.10	protein_coding	CTR9
ENSG00000236443	CHR_HSCHR6_MHC_MANN_CTG1	32994477	32998463	50.56	protein_coding	PSMB8
ENSG00000283208	13	76992078	77129589	36.84	protein_coding	
ENSG00000214883	11	50409042	50422316	37.93	unprocessed_pseudogene	
ENSG00000277863	13	106903150	106904099	37.16	lincRNA	
ENSG00000281188	CHR_HSCHR3_1_CTG3	195639990	195640460	35.88	lincRNA	
ENSG00000229521	13	77080511	77081190	42.35	sense_intronic	MYCBP2-AS2
ENSG00000177105	11	3826978	3840983	51.22	protein_coding	RHOG
ENSG00000104880	19	7395113	7472477	51.44	protein_coding	ARHGEF18
ENSG00000281562	CHR_HSCHR3_1_CTG3	195650146	195651472	40.84	processed_pseudogene	
ENSG00000242440	3	148280891	148399956	35.26	lincRNA	LINC02046
ENSG00000236051	13	77026767	77129717	36.32	processed_transcript	MYCBP2-AS1
ENSG00000281564	CHR_HSCHR3_1_CTG3	195655565	195657927	48.71	lincRNA	
ENSG00000285557	3	148368384	148591927	36.05	lincRNA	
ENSG00000280108	21	13305152	13314944	39.64	lincRNA	
ENSG00000182836	5	41306954	41510628	37.34	protein_coding	PLCXD3
ENSG00000118900	16	4846665	4882360	47.93	protein_coding	UBN1
ENSG00000185390	21	13349265	13350648	32.80	unprocessed_pseudogene	FGF7P2
ENSG00000250238	4	105959	107114	43.69	processed_pseudogene	
ENSG00000005812	13	76992598	77027195	38.36	protein_coding	FBXL3
ENSG00000264246	18	4430945	4431152	44.71	processed_pseudogene	
ENSG00000180176	11	2163929	2171877	65.25	protein_coding	TH
ENSG00000261986	CHR_HSCHR17_1_CTG4	41346092	41350812	48.36	protein_coding	KRT33A
ENSG00000227336	13	60214352	60214946	37.14	lincRNA	LINC00434
ENSG00000266513	18	3770017	3771430	41.94	sense_intronic	
ENSG00000114209	3	167683298	167734939	35.73	protein_coding	PDCD10
ENSG00000262001	18	3603000	3608336	42.98	antisense	DLGAP1-AS2
ENSG00000223417	11	89911111	89921767	37.43	protein_coding	TRIM49D1
ENSG00000261520	18	4264602	4295405	37.35	antisense	DLGAP1-AS5
ENSG00000236638	7	63263065	63263456	52.30	processed_pseudogene	
ENSG00000185037	7	63291518	63304056	37.14	transcribed_unprocessed_pseudogene	ZNF733P
ENSG00000279786	8	140820599	140822414	43.34	TEC	
ENSG00000232165	7	63345840	63346732	45.58	processed_pseudogene	
ENSG00000268292	22	20064552	20065705	55.11	antisense	
ENSG00000227298	7	63342711	63343200	51.22	processed_pseudogene	ARAFP3
ENSG00000227545	7	63349154	63350059	66.89	processed_pseudogene	
ENSG00000230000	7	63348861	63351774	51.78	processed_transcript	
ENSG00000183597	22	20017014	20065926	54.58	protein_coding	TANGO2
ENSG00000261536	16	33140850	33143797	66.89	unprocessed_pseudogene	ABHD17AP9
ENSG00000169398	8	140657900	141002216	40.07	protein_coding	PTK2
ENSG00000279157	13	106941950	106942561	48.20	TEC	
ENSG00000170579	18	3496032	4455335	39.67	protein_coding	DLGAP1
ENSG00000285643	13	106955689	106961392	38.85	lincRNA	
ENSG00000172794	17	74670578	74747335	49.21	protein_coding	RAB37
ENSG00000241993	3	148695994	148696204	39.81	processed_pseudogene	RPL38P1
ENSG00000227923	7	63354033	63354365	57.96	processed_pseudogene	
ENSG00000226587	7	63326674	63354326	40.81	lincRNA	
ENSG00000241668	5	31053565	31054153	51.10	processed_pseudogene	RPL19P11
ENSG00000228036	13	37993085	37994720	39.00	processed_pseudogene	HSPD1P9
ENSG00000275426	4	149738	150317	27.07	sense_intronic	
ENSG00000274317	13	37934565	38048169	35.73	lincRNA	LINC02334
ENSG00000250312	4	124480	202303	39.52	protein_coding	ZNF718
ENSG00000223685	13	38050817	38143232	36.25	lincRNA	LINC00571
ENSG00000090581	16	1351923	1364113	56.48	protein_coding	GNPTG
ENSG00000271971	8	93715378	93716113	31.39	antisense	
ENSG00000005810	13	77044655	77327050	35.72	protein_coding	MYCBP2
ENSG00000246662	8	93213302	93700433	39.82	antisense	LINC00535
ENSG00000068120	17	42561467	42566277	57.56	protein_coding	COASY
ENSG00000253722	8	93733216	93734022	39.78	antisense	
ENSG00000279331	8	93740121	93740773	48.39	TEC	RBM12B-AS1
